"Rang,Name,Diagonal(dyuim),USB,Prise(rub),Stars,Feedback,Offer"
"1,Samsung UE32N5000AU,1080p Full HD,31,HDMI x2 USB DVB-T2,15290,3,10,74"
"2,Samsung UE40NU7100U,4K UHD,40,Smart TV (Tizen) Wi-Fi,25590,4.5,25,68"
